SMILES,Solubility
CCO,0.45
O=C(O)c1ccccc1OC,0.32
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,0.18
C([C@@H]([C@@H]([C@H](O)CO)O)O)O,0.63
CC(=O)OC1=CC=CC=C1C(=O)O,0.27
CC(C)CC1=CC=C(C=C1)O,0.55
C1=CC=C(C=C1)O,0.67
C1CCCCC1,0.12
C1=CC=NC(=C1)N,0.38
C(CO)NC(C)C,0.49
C1CCOC1,0.31
C1=CN=C2C(=N1)C=NC=N2,0.22
C1=CC(=O)OC2=CC=CC=C12,0.29
C(C(=O)O)N,0.58
C1=CC(=CC=C1Cl)Cl,0.15
C1=CC(=C(C=C1O)O)O,0.71
C1=CC(=CC=C1Br)Br,0.10
C1=CC=C(C=C1)CN,0.42
C1=CC=C(C=C1)NO2,0.25
C1=CC=C(C=C1)S(=O)(=O)O,0.65
CC(C)(C)C(=O)O,0.33
C1=CC=C(C=C1)C(=O)O,0.47
C1=CC=C(C=C1)C(=O)OC,0.28
C1=CC=C(C=C1)N=NC2=CC=CC=C2,0.13
C1=CC=C(C=C1)[N+](=O)[O-],0.20
C1=CC=C(C=C1)SC(=S)S,0.08
C1=CC=C(C=C1)C#N,0.35
C1=CC=C(C=C1)C(F)(F)F,0.09
C1=CC=C(C=C1)NC(=O)C,0.50
C1=CC=C(C=C1)OC(=O)C,0.37
